mass, cxn
300, 0.1527
400, 0.04517
500, 0.01679
600, 0.007257
700, 0.003471
800, 0.001795
900, 0.0009818
1000, 0.0005638
1100, 0.0003366
1200, 0.0002067
1300, 0.0001304
1400, 8.408e-05
1500, 5.532e-05
1600, 3.708e-05
1700, 2.509e-05
1800, 1.724e-05
1900, 1.196e-05
2000, 8.369e-06
