mass, cxn
300, 0.9784
400, 0.2998
500, 0.1154
600, 0.05133
700, 0.02532
800, 0.01342
900, 0.007518
1000, 0.004423
1100, 0.002698
1200, 0.001687
1300, 0.001089
1400, 0.0007167
1500, 0.0004796
1600, 0.000327
1700, 0.0002256
1800, 0.0001576
1900, 0.0001112
2000, 7.935e-05
